DataUse,Replication,Vegetation,N2O,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3
Building,R1,Corn,11.98831768,0.25,17.01,26.2,77,43,0.361807803,10.591088,96.90193
Building,R1,Corn,12.15293197,0.25,17.01,23.8,78,44,0.340608964,9.801931,93.675956
Building,R1,Corn,13.19668864,0.0,17.01,25.2,79,45,0.387062478,9.914668,89.45852
Building,R1,Corn,14.02054389,9.14,9.39,21.2,80,46,0.407422465,9.461003,85.649882
Building,R1,Corn,9.489269034,10.41,10.66,21.8,81,47,0.38869963,9.094169,83.837034
Building,R1,Corn,8.920362726,1.27,10.66,21.5,82,48,0.364628103,8.401561,79.987993
Building,R1,Corn,8.01022556,0.0,10.66,23.7,83,49,0.347272605,7.660122,76.059319
Building,R1,Corn,7.722506994,0.0,10.41,23.7,84,50,0.345972156,7.330356,72.03765
Building,R1,Corn,5.573897738,5.08,15.49,22.2,85,51,0.339090539,6.702382,68.268285
Building,R1,Corn,4.292820125,5.08,15.49,24.4,86,52,0.330718763,6.072905,64.34492
Building,R1,Corn,2.000428888,0.0,6.35,26.7,87,53,0.330718763,5.515403,61.344594
Building,R1,Corn,0.284307492,0.0,5.08,26.1,88,54,0.32226318,5.22251,59.844411
Building,R1,Corn,0.0,0.51,5.59,23.2,89,55,0.317268062,5.103944,59.230985
Building,R1,Corn,0.475389009,0.51,5.59,20.0,90,56,0.314298792,4.780167,56.332336
Building,R1,Corn,0.557640124,0.0,5.59,22.3,91,57,0.315481942,4.602496,53.217019
Building,R1,Corn,1.322148667,0.0,0.51,23.8,92,58,0.313997307,4.471187,51.222617
Building,R1,Corn,0.409027319,0.0,0.51,18.8,93,59,0.316958981,4.566926,49.496215
Building,R1,Corn,1.489155537,10.92,11.43,14.8,94,60,0.459848262,4.691258,48.759213
Building,R1,Corn,4.570590324,41.91,42.42,18.5,95,61,0.559802849,4.826789,47.776414
Building,R1,Corn,6.053539306,31.5,42.42,18.7,96,62,0.570347876,4.458847,43.595425
Building,R1,Corn,7.457024858,0.51,42.42,17.6,97,63,0.544994546,3.976694,38.553481
Building,R1,Corn,10.78479988,2.29,44.71,19.2,98,64,0.544281874,3.912692,36.49522
Building,R1,Corn,11.2847381,3.56,45.98,20.8,99,65,0.528451752,3.518517,32.748215
Building,R1,Corn,13.63046951,1.27,45.98,19.8,100,66,0.544082494,3.248449,29.511958
Building,R1,Corn,15.31828219,12.7,47.76,17.8,101,67,0.575951093,2.975656,26.84709
Building,R1,Corn,13.64569483,12.7,16.77,16.0,102,68,0.539926622,2.728983,24.668371
Building,R1,Corn,13.97807093,0.0,16.26,17.1,103,69,0.515179714,2.554784,22.847583
Building,R1,Corn,15.23550436,0.0,16.26,17.4,104,70,0.486678451,2.40298,21.317056
Building,R1,Corn,17.3315632,0.0,13.97,18.1,105,71,0.459256161,2.275438,20.029122
Building,R1,Corn,18.43485321,0.0,12.7,18.4,106,72,0.433236425,2.22506,19.042715
Building,R1,Corn,14.46447557,0.0,12.7,20.3,107,73,0.419086173,2.246492,18.308645
Building,R1,Corn,18.99873405,0.0,0.0,23.9,109,75,0.382398748,2.314865,17.222682
Building,R1,Corn,17.14349605,0.0,0.0,23.2,110,76,0.368646563,2.389901,16.766732
Building,R1,Corn,21.01166871,5.33,5.33,23.1,111,77,0.429048972,2.696397,16.879681
Building,R1,Corn,18.13762551,10.92,10.92,20.3,112,78,0.440259552,2.930706,17.013719
Building,R1,Corn,3.964016822,5.59,10.92,19.8,113,79,0.41797967,3.148032,17.169643
Building,R1,Corn,5.770278073,0.0,10.92,20.1,114,80,0.397187874,3.345252,17.335354
Building,R1,Corn,5.805116134,0.0,10.92,25.2,115,81,0.377899359,3.552984,17.570053
Building,R1,Corn,4.455109782,0.0,10.92,22.3,116,82,0.36146834,3.752785,17.761226
Building,R1,Corn,3.213254504,2.03,12.95,22.9,117,83,0.356020995,3.924931,17.985827
Building,R1,Corn,2.10142383,2.03,7.62,24.9,118,84,0.350886184,4.091495,18.257964
Building,R1,Corn,2.031806149,0.0,2.03,23.8,119,85,0.411188465,4.464134,18.28303
Building,R1,Corn,4.943446833,16.51,18.54,22.8,120,86,0.436199664,4.752839,18.372618
Building,R1,Corn,5.533661296,16.51,18.54,22.4,121,87,0.422125969,4.968398,18.521935
Building,R1,Corn,5.025757771,0.0,18.54,18.0,122,88,0.40845034,5.139279,18.644169
Building,R1,Corn,3.101627962,1.02,19.56,15.5,123,89,0.393909618,5.27307,18.752868
Building,R1,Corn,2.108207184,1.78,18.29,15.6,124,90,0.402783591,5.410005,18.856716
Building,R1,Corn,2.01884872,3.05,20.58,15.2,125,91,0.384488515,5.517488,18.99029
Building,R1,Corn,1.710316029,2.29,20.58,18.3,126,92,0.37695771,5.617673,19.161859
Building,R1,Corn,1.721760876,0.0,4.07,20.7,127,93,0.367346897,5.715341,19.367416
Building,R1,Corn,2.24717742,0.0,4.07,20.1,128,94,0.362201037,5.844107,19.5131
Building,R1,Corn,3.987497463,3.3,7.37,15.5,129,95,0.409514119,5.974781,19.612037
Building,R1,Corn,4.499277417,9.65,12.7,14.6,130,96,0.408624857,6.068557,19.747986
Building,R1,Corn,3.330966499,6.35,11.94,16.3,131,97,0.397935071,6.148889,19.902954
Building,R1,Corn,3.799833697,0.0,9.65,17.0,132,98,0.391293528,6.221684,20.06843
Building,R1,Corn,3.682277234,0.0,9.65,13.1,133,99,0.384473322,6.312472,20.165399
Building,R1,Corn,2.596670769,4.06,13.71,12.5,134,100,0.379137752,6.376309,20.280086
Building,R1,Corn,2.770508507,4.06,13.71,15.3,135,101,0.381199115,6.437835,20.409432
Building,R1,Corn,1.476872973,0.76,11.17,11.8,136,102,0.392389169,6.529251,20.491463
Building,R1,Corn,1.613950989,6.75,10.81,10.1,137,103,0.470925758,6.66404,20.504918
Building,R1,Corn,1.139970869,20.47,25.29,9.2,138,104,0.501738079,6.771374,20.535836
Building,R1,Corn,1.657043401,14.99,25.8,11.2,139,105,0.492164555,6.856625,20.603776
Building,R1,Corn,2.172975276,0.76,26.05,14.5,140,106,0.484935235,6.928301,20.703407
Building,R1,Corn,3.172792215,0.25,21.99,16.6,141,107,0.477110541,6.991098,20.83205
Building,R1,Corn,2.288770988,0.0,21.99,13.2,142,108,0.470070932,7.045136,20.952025
Building,R1,Corn,2.836872707,0.0,21.23,14.4,143,109,0.464716716,7.091013,21.085376
Building,R1,Corn,2.114147784,0.0,15.24,13.5,144,110,0.45798964,7.131828,21.224576
Building,R1,Corn,1.292260161,0.0,0.76,12.6,145,111,0.44679761,7.170223,21.357642
Building,R1,Corn,0.581453523,0.0,0.25,11.1,146,112,0.439873227,7.206853,21.473481
Building,R1,Corn,2.279281304,0.0,0.0,15.2,147,113,0.435720806,7.236358,21.62489
Building,R1,Corn,1.601612199,0.51,0.51,14.4,148,114,0.431851226,7.268796,21.765958
Building,R1,Corn,2.128334157,1.78,1.78,17.4,149,115,0.442020123,7.365871,21.864431
Building,R1,Corn,2.390739233,8.38,8.89,9.9,150,116,0.500949543,7.426716,21.939968
Building,R1,Corn,0.49448597,7.11,8.89,6.1,151,117,0.484012828,7.477542,22.002469
Building,R1,Corn,0.0,0.51,9.4,5.3,152,118,0.483019388,7.523509,22.057741
Building,R1,Corn,0.091928643,1.53,10.42,5.7,153,119,0.479149808,7.560236,22.128317
Building,R1,Corn,-0.630948576,1.02,10.42,10.1,154,120,0.474844919,7.59275,22.221587
Building,R1,Corn,0.624933775,0.25,10.16,6.4,155,121,0.495463529,7.643634,22.273427
Building,R1,Corn,0.147387069,6.09,14.73,8.4,156,122,0.49320693,7.686467,22.34786
Building,R1,Corn,0.0,6.09,7.87,5.6,157,123,0.499137874,7.730979,22.412099
Building,R1,Corn,0.0,2.79,10.41,6.5,158,124,0.616367694,7.848752,22.402573
Building,R1,Corn,1.061560919,38.1,45.46,17.5,159,125,0.674014737,8.00859,22.381266
Building,R1,Corn,1.649595348,59.18,68.06,8.4,160,126,0.716760187,8.118527,22.372495
Building,R1,Corn,0.0,23.62,68.06,7.9,161,127,0.69171939,8.235761,22.359578
Building,R1,Corn,1.929197336,0.0,67.81,16.1,162,128,0.677684364,8.375355,22.371155
Building,R1,Corn,0.0,0.0,33.78,13.2,167,133,0.697259864,8.921322,22.275714
Building,R1,Corn,1.284853019,19.56,53.34,16.4,168,134,0.724617243,9.074568,22.243736
Building,R1,Corn,3.561152234,21.08,54.86,19.2,169,135,0.710323547,9.246452,22.205967
Building,R1,Corn,2.810119772,1.52,51.56,19.7,170,136,0.701343324,9.326587,22.244741
Building,R1,Corn,2.358285723,0.0,39.62,7.4,171,137,0.710241466,9.38194,22.261104
Building,R1,Corn,0.0,4.32,25.4,5.2,172,138,0.698160174,9.414965,22.296368
Building,R1,Corn,0.0,0.0,0.0,2.0,184,150,0.654239977,9.47141,22.921844
Building,R1,Corn,0.0,0.0,0.0,6.5,185,151,0.65186608,9.45084,23.005519
Building,R1,Corn,0.330195277,0.0,0.0,13.7,186,152,0.622918509,9.403693,23.14425
Building,R1,Corn,0.0,0.0,0.0,16.1,187,153,0.617876827,9.339991,23.315986
Building,R1,Corn,1.732954529,0.0,0.0,5.0,188,154,0.676546101,9.357926,23.36643
Building,R1,Corn,4.845850696,9.91,9.91,-0.7,189,155,0.715848828,9.368523,23.40638
Building,R1,Corn,3.704334597,9.91,9.91,-0.9,190,156,0.699626164,9.374018,23.450477
Building,R1,Corn,2.016275185,0.0,9.91,0.1,191,157,0.694677612,9.371532,23.505893
Building,R1,Corn,1.060357073,0.0,9.91,2.3,192,158,0.685985753,9.363112,23.573134
Building,R1,Corn,0.0,0.0,9.91,3.7,193,159,0.682220351,9.350561,23.646739
Building,R1,Corn,0.0,0.0,9.91,5.6,194,160,0.679753324,9.3306,23.734547
Building,R1,Corn,0.311044846,0.0,9.91,6.4,195,161,0.675202838,9.30862,23.824198
Building,R1,Corn,0.0,0.0,0.0,7.0,196,162,0.673074539,9.286617,23.913298
Building,R1,Corn,0.0,0.25,0.25,5.1,197,163,0.673718203,9.265383,24.000824
Building,R1,Corn,0.508862891,0.25,0.25,10.1,198,164,0.672233568,9.232437,24.113029
Building,R1,Corn,0.450239897,1.27,1.52,3.3,199,165,0.678949595,9.203736,24.192673
Building,R1,Corn,0.0,2.54,2.79,-1.4,200,166,0.679157951,9.187064,24.248366
Building,R1,Corn,0.0,1.27,2.79,-0.7,201,167,0.672724763,9.169499,24.305035
Building,R1,Corn,-0.741943227,0.0,2.79,-0.4,202,168,0.66797697,9.15215,24.360762
Building,R1,Corn,0.0,0.0,2.79,-1.8,203,169,0.661752137,9.136136,24.413227
Building,R1,Corn,0.0,0.0,2.54,0.2,204,170,0.656312389,9.115526,24.47376
Building,R1,Corn,0.0,0.0,2.54,2.9,205,171,0.652558035,9.08821,24.545286
Building,R1,Corn,-0.95282853,0.0,1.27,3.7,206,172,0.652558035,9.056897,24.615465
Building,R1,Corn,-0.470951563,0.0,0.0,6.3,207,173,0.66980551,9.012312,24.706353
Building,R1,Corn,0.0,0.25,0.25,11.3,208,174,0.705884142,9.005887,24.754537
Building,R1,Corn,0.949900479,10.41,10.41,11.8,209,175,0.705463979,8.986632,24.819735
Building,R1,Corn,2.364071461,10.16,10.41,10.4,210,176,0.708329071,8.959334,24.894188
Building,R1,Corn,0.0,1.27,11.68,0.1,211,177,0.706256659,8.939775,24.949796
Building,R1,Corn,0.0,1.27,11.68,0.5,212,178,0.694290594,8.920963,25.004028
Building,R1,Corn,-0.401317853,0.0,11.68,5.0,213,179,0.705698528,8.899937,25.066166
Building,R1,Corn,0.0,2.03,13.71,2.0,214,180,0.723379633,8.893425,25.109865
Building,R1,Corn,1.05282372,6.35,17.78,1.0,215,181,0.724350976,8.894826,25.143994
Building,R1,Corn,0.0,7.11,10.41,1.6,216,182,0.732864172,8.893819,25.17997
Building,R1,Corn,0.0,3.04,10.66,-1.5,217,183,0.716342096,8.890042,25.215786
Building,R1,Corn,0.405097738,0.25,9.39,0.4,218,184,0.701996609,8.878474,25.262781
Building,R1,Corn,0.0,0.0,9.39,2.2,219,185,0.69467416,8.860378,25.318804
Building,R1,Corn,0.0,0.0,9.39,2.6,220,186,0.687563518,8.837667,25.381016
Building,R1,Corn,0.0,0.0,7.36,3.8,221,187,0.68618306,8.816816,25.441489
Building,R1,Corn,0.0,2.03,5.07,7.3,222,188,0.726244726,8.798455,25.50208
Building,R1,Corn,0.0,4.06,4.31,3.6,223,189,0.720291685,8.782189,25.556584
Building,R1,Corn,0.0,0.51,4.57,2.3,225,191,0.716173055,8.747301,25.666207
Building,R1,Corn,0.0,0.51,4.57,4.1,226,192,0.76661202,8.779305,25.67338
Building,R1,Corn,0.512303837,20.32,24.89,0.4,227,193,0.748904722,8.800966,25.687362
Building,R1,Corn,0.0,21.84,26.41,-1.1,228,194,0.733865208,8.813887,25.708017
Building,R1,Corn,0.342488631,1.52,24.38,-2.9,229,195,0.695459292,8.821293,25.731684
Building,R1,Corn,0.0,0.0,22.35,-3.8,230,196,0.630848073,8.82552,25.75682
Building,R1,Corn,1.146650105,3.05,24.89,-4.7,233,199,0.587243861,8.820543,25.846698
Building,R1,Corn,1.469760129,3.05,4.57,-4.0,234,200,0.596627674,8.816173,25.878115
Building,R1,Corn,3.436682224,0.76,3.81,-3.3,235,201,0.601178161,8.809687,25.912914
Building,R1,Corn,1.285167236,1.27,4.32,-4.7,236,202,0.608206722,8.80343,25.946064
Building,R1,Corn,0.0,0.76,4.57,-1.9,237,203,0.612653031,8.794716,25.985065
Building,R1,Corn,3.597893416,0.0,4.57,-5.5,239,205,0.609095984,8.780118,26.052589
Building,R1,Corn,0.0,0.0,1.52,-5.4,240,206,0.59584259,8.774026,26.083461
Building,R1,Corn,0.549594576,0.0,1.52,-2.7,241,207,0.597025741,8.764025,26.122026
Building,R1,Corn,1.013856856,0.0,0.76,-2.1,242,208,0.602164004,8.756778,26.159109
Building,R1,Corn,4.660267277,0.51,0.76,0.4,243,209,0.609769293,8.747425,26.202215
Building,R1,Corn,2.597178554,0.76,0.76,-1.4,244,210,0.617195921,8.735582,26.245987
Building,R1,Corn,1.388589678,0.25,0.76,-1.1,245,211,0.617300099,8.721496,26.29304
Building,R1,Corn,3.667460522,0.0,0.76,3.6,246,212,0.657410006,8.699654,26.354594
Building,R1,Corn,0.502799785,0.51,1.27,0.4,247,213,0.688579054,8.692478,26.398313
Building,R1,Corn,0.482657963,6.1,6.86,7.5,248,214,0.758400309,8.725341,26.408082
Building,R1,Corn,0.291258669,24.39,25.66,9.7,249,215,0.74168645,8.753853,26.42403
Building,R1,Corn,-0.326949934,24.9,31.25,0.5,250,216,0.749102029,8.790349,26.424394
Building,R1,Corn,1.280228455,18.8,43.7,-5.8,251,217,0.707980036,8.809799,26.433274
Building,R1,Corn,1.592871439,12.7,43.7,-6.5,252,218,0.663877725,8.823323,26.447777
Building,R1,Corn,2.293472093,0.0,43.7,-4.1,253,219,0.601502436,8.831582,26.467929
Building,R1,Corn,5.515200824,0.0,43.19,-2.0,254,220,0.597539726,8.834204,26.496369
Building,R1,Corn,4.29344456,0.0,37.6,-3.0,255,221,0.568573509,8.833023,26.528788
Building,R1,Corn,6.040007665,0.0,18.8,4.6,256,222,0.59039939,8.820221,26.583783
Building,R1,Corn,0.925988511,0.0,12.7,-6.9,257,223,0.586466374,8.81135,26.622746
Building,R1,Corn,0.742359432,0.0,0.0,-11.1,258,224,0.57202983,8.810043,26.645043
Building,R1,Corn,0.0,3.3,3.3,-15.9,259,225,0.565008866,8.811094,26.660587
Building,R1,Corn,0.534863613,4.57,4.57,-12.5,260,226,0.554264919,8.81028,26.679306
Building,R1,Corn,0.560052105,1.27,4.57,-11.6,261,227,0.549481609,8.806522,26.703638
Building,R1,Corn,0.0,0.0,4.57,-8.4,262,228,0.545329188,8.802337,26.728428
Building,R1,Corn,2.871360987,0.0,4.57,-5.3,263,229,0.556000329,8.794558,26.76008
Building,R1,Corn,3.646318755,0.0,4.57,-4.8,264,230,0.551271181,8.786765,26.79173
Building,R1,Corn,4.616428431,4.06,8.63,3.2,265,231,0.639506093,8.797905,26.813953
Building,R1,Corn,3.385976253,9.39,10.66,9.6,266,232,0.722617339,8.825316,26.826485
Building,R1,Corn,5.387817092,15.74,19.8,7.5,267,233,0.766005599,8.866607,26.824501
Building,R1,Corn,2.518340108,2.79,178.29,-8.1,273,239,0.706271853,8.954466,26.867207
Building,R1,Corn,0.0,2.54,168.39,-4.2,274,240,0.702904516,8.959089,26.887126
Building,R1,Corn,2.00726014,0.51,139.69,-0.8,275,241,0.703700649,8.979017,26.898457
Building,R1,Corn,3.62432374,6.6,65.01,-2.6,276,242,0.710226966,8.99112,26.913843
Building,R1,Corn,2.517127829,8.63,12.69,-6.7,277,243,0.705382591,8.998073,26.930997
Building,R1,Corn,3.495884387,2.03,11.93,-0.1,278,244,0.70123017,9.018125,26.944092
Building,R1,Corn,3.33582946,2.29,13.46,2.1,279,245,0.745753338,9.043011,26.95699
Building,R1,Corn,3.128224686,3.05,12.19,-2.3,280,246,0.721802562,9.058954,26.973166
Building,R1,Corn,5.362367531,0.76,11.68,-1.0,281,247,0.71161502,9.076761,26.989858
Building,R1,Corn,3.950759506,0.0,11.68,1.1,282,248,0.713988916,9.098617,27.004335
Building,R1,Corn,3.662710185,0.51,5.59,-4.1,283,249,0.71193515,9.11208,27.021658
Building,R1,Corn,4.249502455,0.51,3.56,-7.8,284,250,0.665667297,9.121169,27.037695
Building,R1,Corn,4.330278842,1.52,5.08,-10.0,285,251,0.629378631,9.126813,27.054925
Building,R1,Corn,6.202573436,1.52,2.79,0.6,286,252,0.600129575,9.147237,27.068792
Building,R1,Corn,4.397992331,3.05,5.08,-3.9,287,253,0.654442218,9.177076,27.072469
Building,R1,Corn,0.0,8.64,10.67,-7.9,288,254,0.669630007,9.193528,27.081772
Building,R1,Corn,4.676305072,6.61,11.69,-5.6,289,255,0.652715389,9.206409,27.09652
Building,R1,Corn,2.751717688,1.02,11.18,-3.5,290,256,0.624251416,9.215095,27.118
Building,R1,Corn,4.292850926,6.6,17.78,-3.0,291,257,0.626721894,9.220184,27.143752
Building,R1,Corn,4.193326373,6.85,16.51,-2.3,292,258,0.627506978,9.226783,27.168345
Building,R1,Corn,4.765334021,0.25,16.51,-2.7,293,259,0.626126521,9.245985,27.186131
Building,R1,Corn,3.483344376,0.0,13.46,-0.7,294,260,0.621378727,9.259418,27.208134
Building,R1,Corn,1.835377108,10.67,18.54,0.7,295,261,0.640280225,9.288138,27.218237
Building,R1,Corn,0.9895672,18.54,25.39,0.7,296,262,0.650657477,9.312323,27.232943
Building,R1,Corn,0.0,8.12,25.64,-3.3,297,263,0.669916299,9.327126,27.250051
Building,R1,Corn,0.304896421,0.25,19.04,-5.5,298,264,0.667750758,9.336189,27.270696
Building,R1,Corn,0.613123145,0.0,18.79,-5.1,299,265,0.639673803,9.339528,27.297097
Building,R1,Corn,0.0,0.0,18.79,-4.9,300,266,0.619306316,9.348621,27.319908
Building,R1,Corn,1.79936523,0.0,18.79,-2.7,301,267,0.598239277,9.356548,27.345845
Building,R1,Corn,0.875860487,0.0,8.12,-0.6,302,268,0.590239373,9.365914,27.372913
Building,R1,Corn,1.34407712,0.0,0.25,0.0,303,269,0.614543329,9.375943,27.398668
Building,R1,Corn,2.029125423,0.0,0.0,-1.1,304,270,0.614156311,9.393244,27.421376
Building,R1,Corn,3.850252823,0.0,0.0,1.2,305,271,0.615224235,9.415074,27.439477
Building,R1,Corn,10.32370592,0.0,0.0,8.6,306,272,0.711164432,9.472417,27.429282
Building,R1,Corn,41.94281282,2.79,2.79,7.5,307,273,0.745987935,9.527164,27.421803
Building,R1,Corn,11.82724098,10.66,10.66,-0.3,308,274,0.722435225,9.567519,27.422205
Building,R1,Corn,21.91196787,11.68,14.47,-3.4,309,275,0.710260804,9.59546,27.43006
Building,R1,Corn,14.26154829,4.83,15.49,-1.4,310,276,0.678541269,9.616068,27.448667
Building,R1,Corn,10.3174865,1.02,15.49,1.0,311,277,0.669440296,9.638702,27.468758
Building,R1,Corn,2.187109724,3.05,18.54,-1.3,312,278,0.68783955,9.653426,27.49188
Building,R1,Corn,1.330547336,5.34,20.83,-2.7,313,279,0.667661773,9.660296,27.521186
Building,R1,Corn,5.829839706,2.29,18.04,-2.0,314,280,0.636027771,9.66306,27.554855
Building,R1,Corn,3.131058769,3.56,13.73,-4.7,315,281,0.626145166,9.663821,27.586765
Building,R1,Corn,3.229343021,3.81,10.17,-5.9,316,282,0.604594529,9.663762,27.61632
Building,R1,Corn,0.0,8.38,38.09,7.6,353,319,0.67655439,9.716564,29.080529
Building,R1,Corn,1.342090889,0.25,21.58,14.9,356,322,0.628198933,9.594753,29.420638
Building,R1,Corn,2.210692631,0.25,21.58,17.4,357,323,0.675862436,9.654733,29.406814
Building,R1,Corn,1.774603299,0.0,11.94,16.9,1,330,0.613051097,11.612726,32.950389
Building,R1,Corn,0.086756437,0.0,0.0,18.1,2,331,0.632105015,12.633704,34.334413
Building,R1,Corn,0.740019647,0.0,0.0,17.9,3,332,0.632503081,13.805007,35.409536
Building,R1,Corn,0.0,10.16,10.16,7.7,5,334,0.654675333,15.045744,36.486745
Building,R1,Corn,0.445501566,7.62,10.92,4.2,6,335,0.649443941,15.408277,36.867523
